timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
12280,25.13,101286.37,43.96,203852.81
12427,25.13,101287.11,43.93,205634.75
12563,25.13,101286.1,43.92,204994.78
12709,25.13,101285.93,43.91,204485.69
12856,25.13,101286.7,43.91,205763.22
12992,25.14,101286.2,43.87,206020.66
13138,25.14,101286.62,43.86,204994.78
13275,25.14,101285.7,43.85,205122.45
13421,25.14,101284.58,43.82,204358.78
13557,25.15,101286.47,43.85,204358.78
13704,25.15,101285.28,43.82,204612.7
13850,25.15,101284.85,43.79,204994.78
13986,25.14,101284.23,43.79,204994.78
14133,25.15,101282.91,43.78,203979.06
14270,25.16,101285.39,43.76,205378.28
14416,25.16,101284.62,43.75,205634.75
14553,25.17,101285.14,43.75,204612.7
14699,25.17,101285.4,43.73,205250.28
14835,25.18,101286.43,43.74,204232.06
14982,25.18,101288.2,43.71,204485.69
15128,25.18,101286.09,43.7,203726.7
15264,25.17,101284.63,43.69,203349.36
15411,25.17,101283.87,43.68,203852.81
15547,25.18,101285.59,43.67,203726.7
15693,25.19,101287.03,43.65,203349.36
15830,25.19,101284.48,43.65,202474.23
15976,25.19,101286.95,43.65,203600.78
16122,25.19,101285.84,43.63,202101.5
16259,25.19,101287.12,43.61,202723.52
16405,25.19,101286.79,43.61,201853.77
16541,25.2,101285.68,43.62,201853.77
16688,25.2,101286.8,43.6,202349.86
16824,25.2,101286.19,43.58,201360.13
16970,25.19,101285.43,43.56,201483.31
17106,25.18,101283.7,43.54,202349.86
17253,25.19,101286.19,43.54,202848.36
17399,25.19,101285.68,43.56,202349.86
17536,25.19,101285.94,43.54,203726.7
17682,25.17,101282.68,43.54,203979.06
17818,25.19,101286.35,43.53,203098.55
17965,25.18,101285.42,43.52,204612.7
18101,25.18,101286.78,43.5,203223.89
18247,25.18,101284.4,43.51,204232.06
18394,25.17,101283.2,43.48,203098.55
18531,25.18,101286.43,43.48,204994.78
18677,25.18,101286.86,43.46,203979.06
18813,25.18,101286.68,43.47,204612.7
18960,25.18,101284.3,43.47,203098.55
19096,25.17,101284.13,43.45,203474.98
19243,25.17,101285.05,43.45,204105.48
19379,25.18,101286.16,43.44,204358.78
19525,25.19,101287.2,43.43,203979.06
19672,25.18,101284.14,43.44,203474.98
19808,25.19,101285,43.44,203726.7
19954,25.19,101284.83,43.41,203600.78
1157409,25.67,101266.51,42.14,203474.98
1157545,25.67,101265.06,42.15,203098.55
1157692,25.67,101267.63,42.13,202848.36
